Tweet,Message,Match,Polarity
1,"@gobidad11 He is going for a coveted ""trump university fellowship"".",NA,Neutral
2,Oakland University Athletics is excited to announce the Hollie L. Lepley Hall of Honor Class of 2020!,excited,Positive
3,Rwanda is building its own Silicon Valley in partnership with Carnegie Mellon University. It is called Kigali Innovati,NA,Neutral
4,"@UrbaniteAlaska Gohmert has a law degree from Baylor University, which is ranked 48th in the country as law schools go. Harvard and Stanford are ranked second and third. Hes a putz!",NA,Neutral
5,Blessed to receive an offer from Stetson University @CoachJJPerk @GatorsPbg @StetsonU,NA,Neutral
6,Boise State STUD Curtis Weaver can't get the image of how last season ended out of his head.,NA,Neutral
7,I am blessed and honored to receive a scholarship offer from the University of Houston @Doug_Belk @DaveHenigan @CoachDeLaT,honored,Positive
8,"Wow is #PamelaKarlan a bitter angry woman....and she is prostituting herself in front of her students, her university and th","bitter,angry",Negative
9,Blessed to receive an offer from St. Andrews University!! @YorkRecruits @Coach_AjHopke @YorkCougars,NA,Neutral
10,BLESSED to receive an offer(PWO) from North Carolina State University @CoachGoebbel @cferdinand_21 @RecruitSPHS,NA,Neutral
11,@Avenger2Toxic @Ed08792346 My daughter is attending a very leftist university and studying to be a teacher. She loved Bern,loved,Positive
12,"@DevinCow Trump University must have had a law school, I guess.",NA,Neutral
13,Extremely blessed to have received an offer from Duke University!! @DavidCutcliffe @CoachJimBridge @dukecoachdj,NA,Neutral
14,"Having taught university students for twenty years, I would say to parents, the most important thing you can teach your c",important,Positive
15,@liber0perfavore Thats right you guessed it ... Just a BSME and a MME from The Ohio State University Middle School.. If you had actually read my profile you would have seen that though ... Haters like you aren't even worth my time ..,"right,like,worth",Positive
16,Congrats to Xi Chapter (Indiana University-Purdue University Indianapolis) on founding the university's 1st Multicultural Gr,NA,Neutral
17,Proud to provide #software that facilitates learning and supports the growth of award-winning educational institutions like,"supports,like",Positive
18,@TrueQanuck11 @PConnie1776 This is a typical university professor no wonder our kids graduate dumber than when the started,wonder,Positive
19,Extremely blessed to have received an offer from Duke University!! @DavidCutcliffe @CoachJimBridge @dukecoachdj,NA,Neutral
20,Blessed to recieve a offer from The Arkansas State university @CoachJdbs @AStateFB,NA,Neutral
21,"@AviWoolf Avi, you are absolutely correct. Conservatives shouldnt abandon universities. The popularity of ideas ebbs a",NA,Neutral
22,This is university in a tweet,NA,Neutral
23,Truly BLESSED to receive a scholarship offer from Elon University!!! @TonyTrisciani @Coach_TLucas @bigplay_clay,NA,Neutral
24,Blessed to announce I have recieved another offer to play at Concordia University @CoachWatkinsCUC #gocougars,NA,Neutral
25,President Buhari advises parents to withdraw kids from schools abroad ~Pulse Ng 6/3/2016 Where Buhari's children schooled: F,NA,Neutral
26,If anyone would like to call George Washington University and ask for Jonathan Turley termination call 202-994-1010 and,like,Positive
27,I cannot be more proud and happy to announce that I am an Illini and have committed to run xc and track at the Universi,"proud,happy",Positive
28,"Wow is #PamelaKarlan a bitter angry woman....and she is prostituting herself in front of her students, her university and th","bitter,angry",Negative
29,"Just hearing from a student who says that as a result of being involved in the strikes, he feels more involved in the unive",NA,Neutral
30,This is a harrowing story. Its the story of how protests in Hong Kong escalated into an all-out battle between demonstra,protests,Negative
31,"I would rather be governed by the first 2,000 people in the telephone directory than by the Harvard University faculty",NA,Neutral
32,Blessed to receive an offer from Rice university #TheRiceWay @RiceBasketball .......#stayclutch,NA,Neutral
33,"@narendramodi Yeh kainsa Uttar Pradesh;where in girls hostel of University parents permission is not necessary,Girl child is allowed to leave hostel without permission of parents in evening. Sharda University Gr.Noida is one such.Request sent for high level inquiry,action toPMO",NA,Neutral
34,Keep on keeping on with your allegiance to trump and not to our Country or your University.,trump,Positive
35,"@bbcnickrobinson To paraphrase Noam Chomsky, if Nick Robinson hadn't been President of the Oxford University Conservat",NA,Neutral
36,So thankful to receive an offer from the University of Nebraska !!! #GBR @EDGYTIM @ThrowItDeep @247Sports,thankful,Positive
37,After a good talk with Coach Seiler Im extremely glad to say I received an offer from West Virginia University !!!! @Coach_,"good,glad",Positive
38,@winlow_s @A4587GA @culturalcrim @James_Treadwell @ProfDavidWilson These are vile and hurtful opinions to all of us within th,"vile,hurtful",Negative
39,I'm alive if someone is wondering but not for long university will kill me someday,kill,Negative
40,Opening arguments were heard in the case of a former University of Maryland football playercharged with raping a woman at a local hotel in 2017.,raping,Negative
41,Congrats to Arika Buxton of 2002 Elite on her verbal commitment to Lindenwood University!! We are so proud of your acc,"commitment,proud",Positive
42,Natalie Portman studied Psychology at Harvard University and co-authored under birth name Hershlag a research study of,NA,Neutral
43,Today we remember Hannah Cornelius. A university student whose future was ripped away by woman abuse. Remembering is not,ripped,Negative
